# Detector log started : 2026-07-06 21:15:55.159
# Port                 : /dev/cu.usbmodem142101  Baud: 115200
# Author               : (unset)
# Threshold            : 20 mV
# Columns              : pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
#
pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
2026-07-06 21:19:17.453	516	456679	24	1.1300	20
2026-07-06 21:19:17.664	517	456862	52	1.1300	20
2026-07-06 21:19:17.664	518	456906	33	1.1300	20
2026-07-06 21:19:18.068	519	457324	22	1.1300	20
2026-07-06 21:19:19.363	520	458640	21	1.1300	20
2026-07-06 21:19:20.660	521	459920	132	1.1300	20
2026-07-06 21:19:20.787	522	460056	29	1.1300	20
2026-07-06 21:19:21.748	523	460980	26	1.1300	20
2026-07-06 21:19:21.889	524	461123	23	1.1400	20
2026-07-06 21:19:22.165	525	461410	39	1.1400	20
2026-07-06 21:19:22.451	526	461656	77	1.1400	20
2026-07-06 21:19:22.943	527	462167	105	1.1400	20
2026-07-06 21:19:23.250	528	462502	106	1.1400	20
2026-07-06 21:19:23.450	529	462682	29	1.1400	20
2026-07-06 21:19:24.148	530	463382	25	1.1400	20
2026-07-06 21:19:24.773	531	464011	21	1.1400	20
2026-07-06 21:19:26.653	532	465925	62	1.1400	20
2026-07-06 21:19:27.344	533	466600	35	1.1400	20
2026-07-06 21:19:27.753	534	466983	73	1.1400	20
2026-07-06 21:19:28.477	535	467723	118	1.1400	20
2026-07-06 21:19:28.744	536	467988	162	1.1500	20
2026-07-06 21:19:28.973	537	468163	142	1.1500	20
2026-07-06 21:19:30.453	538	469665	63	1.1500	20
2026-07-06 21:19:30.592	539	469738	57	1.1500	20
2026-07-06 21:19:31.396	540	470575	41	1.1500	20
2026-07-06 21:19:31.722	541	470942	135	1.1500	20
2026-07-06 21:19:31.798	542	471046	26	1.1500	20
2026-07-06 21:19:32.744	543	471965	299	1.1500	20
2026-07-06 21:19:33.243	544	472463	27	1.1500	20
2026-07-06 21:19:33.466	545	472650	55	1.1500	20
2026-07-06 21:19:33.802	546	472957	78	1.1500	20
2026-07-06 21:19:34.379	547	473646	50	1.1500	20
2026-07-06 21:19:35.104	548	474380	20	1.1600	20
2026-07-06 21:19:35.559	549	474798	22	1.1600	20
2026-07-06 21:19:37.448	550	476712	21	1.1500	20
2026-07-06 21:19:41.191	551	480391	244	1.1500	20
2026-07-06 21:19:41.859	552	481073	63	1.1500	20
2026-07-06 21:19:43.383	553	482635	24	1.1500	20
2026-07-06 21:19:44.480	554	483740	27	1.1500	20
2026-07-06 21:19:47.348	555	486606	115	1.1400	20
2026-07-06 21:19:48.567	556	487805	40	1.1400	20
2026-07-06 21:19:49.247	557	488498	38	1.1400	20
2026-07-06 21:19:52.006	558	491244	37	1.1400	20
2026-07-06 21:19:53.849	559	493117	26	1.1300	20
2026-07-06 21:19:54.254	560	493496	32	1.1300	20
2026-07-06 21:19:55.573	561	494827	129	1.1300	20
2026-07-06 21:19:56.048	562	495304	23	1.1300	20
2026-07-06 21:19:56.584	563	495811	22	1.1400	20
2026-07-06 21:19:57.501	564	496723	89	1.1400	20
2026-07-06 21:19:58.247	565	497504	39	1.1400	20
2026-07-06 21:19:58.577	566	497857	54	1.1400	20
2026-07-06 21:19:59.669	567	498933	20	1.1400	20
2026-07-06 21:20:00.192	568	499454	31	1.1400	20
2026-07-06 21:20:00.853	569	500053	32	1.1400	20
2026-07-06 21:20:01.902	570	501122	89	1.1400	20
2026-07-06 21:20:02.166	571	501437	68	1.1400	20
2026-07-06 21:20:03.349	572	502607	84	1.1400	20
2026-07-06 21:20:03.777	573	503023	90	1.1400	20
2026-07-06 21:20:06.143	574	505380	34	1.1400	20
2026-07-06 21:20:07.573	575	506772	27	1.1300	20
2026-07-06 21:20:07.873	576	507044	27	1.1400	20
2026-07-06 21:20:08.251	577	507463	60	1.1400	20
2026-07-06 21:20:09.852	578	509060	61	1.1400	20
2026-07-06 21:20:11.263	579	510491	24	1.1300	20
2026-07-06 21:20:12.346	580	511540	53	1.1300	20
